location,Month-Year,new_cases
Asia,Jul-22,8788038
Asia,Aug-22,13000810
Asia,Sep-22,6161677
Asia,Oct-22,3942723
Asia,Nov-22,5942435
Asia,Dec-22,8063960
Asia,Jan-23,5658195
Asia,Feb-23,107129
Australia,Jan-20,9
Australia,Feb-20,16
Australia,Mar-20,4534
Australia,Apr-20,2207
Australia,May-20,436
Australia,Jun-20,718
Australia,Jul-20,9360
Australia,Aug-20,8539
Australia,Sep-20,1277
Australia,Oct-20,499
Australia,Nov-20,317
Australia,Dec-20,513
Australia,Jan-21,393
Australia,Feb-21,160
Australia,Mar-21,344
Australia,Apr-21,489
Australia,May-21,307
Australia,Jun-21,525
Australia,Jul-21,3740
Australia,Aug-21,20710
Australia,Sep-21,52088
Australia,Oct-21,64849
Australia,Nov-21,39625
Australia,Dec-21,213841
Australia,Jan-22,2181746
Australia,Feb-22,657205
Australia,Mar-22,1338049
Australia,Apr-22,1380076
Australia,May-22,1359266
Australia,Jun-22,852265
Australia,Jul-22,1271166
Australia,Aug-22,606242
Australia,Sep-22,197572
Australia,Oct-22,139789
Australia,Nov-22,280456
Australia,Dec-22,471809
Australia,Jan-23,163739
Australia,Feb-23,0
Austria,Feb-20,4
Austria,Mar-20,9261
Austria,Apr-20,6138
Austria,May-20,1208
Austria,Jun-20,1019
Austria,Jul-20,3244
Austria,Aug-20,6258
Austria,Sep-20,17100
Austria,Oct-20,57236
Austria,Nov-20,177033
Austria,Dec-20,77563
Austria,Jan-21,53223
Austria,Feb-21,43360
Austria,Mar-21,84656
Austria,Apr-21,74267
Austria,May-21,28153
Austria,Jun-21,6214
Austria,Jul-21,8307
Austria,Aug-21,28377
Austria,Sep-21,55082
Austria,Oct-21,84558
Austria,Nov-21,325652
Austria,Dec-21,122899
Austria,Jan-22,564791
Austria,Feb-22,835721
Austria,Mar-22,1170725
Austria,Apr-22,332696
Austria,May-22,113409
Austria,Jun-22,171614
Austria,Jul-22,314276
Austria,Aug-22,181967
Austria,Sep-22,188451
Austria,Oct-22,308040
Austria,Nov-22,122066
Austria,Dec-22,143465
Austria,Jan-23,75136
Austria,Feb-23,5361
Azerbaijan,Mar-20,298
Azerbaijan,Apr-20,1506
Azerbaijan,May-20,3690
